,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
507,34156,Nike,(PS) 나이키 덩크 하이 블랙 앤 화이트,224,4,-24.6231,-49000,40000,150000,140000,150000,,,60,165,220,White/Black-University Red,2021-04-29T00:00:00Z,baby,,KRW,,(PS) Nike Dunk High Black and White,,,,DD2314-103
508,32044,Nike,나이키 x 베르디 SB 덩크 로우 프로 웨이스티드 유스 (레귤러 박스),163,5,18.4,46000,250000,296000,299000,296000,161300,119.748,23,230,320,Black/University Red-White-Black,2021-04-06T00:00:00Z,men,138400,KRW,"138,400원",Nike x Verdy SB Dunk Low Pro Wasted Youth (Regular Box),110,USD,$110 ,DD8386-001
509,30800,Nike,(PS) 나이키 덩크 로우 레트로 하이퍼 코발트,164,6,5.33333,8000,,158000,200000,158000,78900,99.7472,34,165,220,Black/Hyper Cobalt-White,2021-02-19T00:00:00Z,kids,81700,KRW,"81,700원",(PS) Nike Dunk low Retro Hyper Cobalt,65,USD,$65 ,CW1588-001
510,28987,Nike,(W) 나이키 덩크 로우 레트로 파이어크래커,93,1,54.8,137000,100000,387000,365000,387000,198100,104.87,12,220,290,Multi Color,2021-01-28T00:00:05Z,women,187600,KRW,"187,600원",(W) Nike Dunk Low Retro Firecracker,999,CNY,¥999,DH4966-446
511,28433,Nike,나이키 x 션 클리버 SB 덩크 로우 홀리데이 스페셜 (스페셜 박스),296,15,-20.6667,-310000,1200000,1190000,1500000,1190000,1051200,757.349,7,230,320,ICE BLUE/WHITE-METALLIC GOLD-METALLIC SILVER,2020-12-20T00:00:00Z,men,138400,KRW,"138,400원",Nike x Sean Cliver SB Dunk Low Holiday Special (Special Box),110,USD,$110 ,DC9936-100
512,25778,Nike,(PS) 나이키 x 메디콤 토이 SB 덩크 로우 베어브릭,15,0,-27.7108,-69000,65000,180000,179000,180000,90800,101.794,2,165,225,Black/White/Black,2020-08-22T00:00:00Z,kids,94300,KRW,"94,300원",(PS) Nike x Medicom Toy SB Dunk Low BE@RBRICK,75,USD,$75 ,DC1630-001
513,25124,Nike,나이키 SB 덩크 미드 ISO 오렌지 라벨,73,1,-10,-20000,,180000,180000,180000,38500,27.2085,2,215,320,BLACK/DARK GREY-BLACK-WHITE,2020-02-01T00:00:00Z,men,151000,KRW,"151,000원",Nike SB Dunk Mid ISO Orange Label,120,USD,$120 ,CV4283-001
514,20523,Nike,나이키 SB 덩크 로우 블랙 워시드 코랄,193,6,-11.1111,-50000,270000,400000,450000,400000,292700,272.787,19,215,320,Black/Washed Coral-Black,2019-05-15T23:59:59Z,men,113200,KRW,"113,200원",Nike SB Dunk Low Black Washed Coral,90,USD,$90 ,BQ6817-003
515,24048,Nike,나이키 x 베르디 걸스 돈 크라이 SB 덩크 로우,121,8,-9.09091,-250000,1000000,2500000,1700000,2500000,,,3,215,320,VARSITY RED/WHITE-VARSITY RED,2019-02-09T00:00:00Z,men,,KRW,,Nike x Verdy Girls Don't Cry SB Dunk Low,,,,BQ6832-600
516,18056,Nike,나이키 x 컨셉트 SB 덩크 로우 그린 랍스터 (스페셜 박스),125,2,31.5789,360000,1000000,1500000,1500000,1500000,1380700,1157.33,2,215,320,Green Stone/Legion Green-Fir,2018-12-14T23:59:59Z,men,125800,KRW,"125,800원",Nike x Concepts SB Dunk Low Green Lobster (Special Box),100,USD,$100 ,BV1310-337
